Schema Name,View Name,Column Name,Datatype,Change Type,New View,New Column,New Datatype,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Azure_Communication_Services_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Azure_Stack_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Blockchain_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Compute_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Containers_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Databases_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Developer_Tools_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Gaming_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Integration_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Internet_of_Things_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Management_and_Governance_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Microsoft_Syntex_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Mixed_Reality_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Mobile_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Networking_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Other_AzureInfraCR,decimal,Deprecate,,,,,
analytics,vw_Fact_AnalyticsMart_AllPartner,Az_Derivatives_Power_Platform_AzureInfraCR,decimal,Deprecate,,,,,
